requirement_id,theme,role,need,outcome,dependencies,requirement_owner,source_reference,acceptance_criteria,source_pages
FR-A01,Authentication & Security,Any user,to authenticate with User ID and Password,I can access FirstBrief features securely,None,TBD,"User Guide Sec 4.2, 4.4","• Given valid credentials, When I submit the login form, Then I am signed in and taken to the Dashboard. • Given invalid credentials, When I submit the login form, Then I see an error and remain on the login page.",7;8
FR-A02,Authentication & Security,Any user,the system to lock my account after a configurable number of failed logins and email a temporary password,my account is protected from brute-force attempts and I can regain access,None,TBD,User Guide Sec 4.2–4.3,"• Given my account reaches the max failed login attempts, When a further attempt occurs, Then the account is locked and a reset email is sent. • Given I log in with the temporary password, When authentication succeeds, Then I am forced to change my password.",8
FR-A03,Authentication & Security,Any user,to be required to change my password on first login and at configured intervals with complexity rules enforced,password hygiene is maintained,None,TBD,"User Guide Sec 4.3, 12.10 (Password policies), 13.3","• Given first login, When I authenticate, Then I must set a new compliant password before proceeding. • Given password expiry interval is reached, When I log in, Then I am prompted to change my password.",8
FR-A04,Authentication & Security,Any user,to log out with a confirmation screen listing messages accessed this session,I can verify my actions and end the session cleanly,None,TBD,User Guide Sec 4.5,"• Given I am logged in, When I click Logout, Then a confirmation page lists messages accessed this session. • When I confirm, Then my session ends and I return to the login page.",8;9
FR-A09,Authentication & Security,Any user,the account lock email to include a temporary password that I must use once and then change,I can regain access securely,None,TBD,User Guide Sec 4.2–4.3,"• Given my account is locked, Then the email contains a temporary password and first- login forces a change.",9
FR-B01,Dashboards & Awareness,Any user,a dashboard landing page with menu items permitted by my role,I can quickly access the functions I am allowed to use,None,TBD,User Guide Sec 5.1,"• Given I have the required permissions, When I open the Dashboard, Then I see only the menu items my role allows. • And results/actions are consistent with my role and scope.",9
FR-B02,Dashboards & Awareness,Operational User / Staff Supervisor,a list of mandatory messages effective since last login and forthcoming (colour-coded),I can prioritise reading and clearance of urgent items,None,TBD,User Guide Sec 5.2,"• Given messages effective since last login, When I view the Dashboard, Then those appear in the Effective list. • Given messages due to become effective, When I view the list, Then they are highlighted in the pre-effective colour.",9;10
FR-B03,Dashboards & Awareness,Any user,to view current Briefs of the Day for my Default Message Group (or all applicable when no default),I can see key notices immediately after login,None,TBD,User Guide Sec 5.3,"• Given I have the required permissions, When I open the Dashboard, Then I see Briefs of the Day relevant to my groups. • And results/actions are consistent with my role and scope.",10
FR-B08,Dashboards & Awareness,Operational User / Staff Supervisor,the Effective list to include mandatory messages that became effective since my last login regardless of current read state,I don’t miss items that turned effective while I was away,None,TBD,User Guide Sec 5.2,"• Given a message became effective since my last login, When I return, Then it appears in the Effective list whether Read or Read & Cleared.",10
FR-B09,Dashboards & Awareness,Operational User / Staff Supervisor,"columns for Message, Effective, Expires, Printed, Emailed with sortable headers",I can manage and audit my actions,None,TBD,User Guide Sec 5.2,"• Given the list, When I click a column header, Then the list sorts by that column.",10;11
FR-C01,Briefs of the Day (BOTD),Data Preparer / Data Authority,"to submit a BOTD with Title, Message Content (text), Release/Expiry, and target Message Groups",time-bounded notices are communicated to the right audiences,None,TBD,User Guide Sec 9.2,"• Given Release/Expiry are in the future and Expiry > Release, When I click Create, Then the BOTD is saved. • Given invalid dates, When I attempt to save, Then I see validation errors and the BOTD is not created.",11
FR-C02,Briefs of the Day (BOTD),Any user with access,"to search BOTD by Title, Content, Message Group, and date ranges (Release/Expiry), including archived",I can find specific BOTD quickly,None,TBD,User Guide Sec 9.3,"• Given I have the required permissions, When I search with filters, Then I see matching BOTD results including optional archived. • And results/actions are consistent with my role and scope.",11
FR-C03,Briefs of the Day (BOTD),Data Authority / System Manager,"to edit/delete/restore BOTD with statuses Unreleased, Released, Archived",I can correct content and manage lifecycle,None,TBD,User Guide Sec 9.4,"• Given a BOTD Unreleased, When I edit dates/content/access, Then changes save with validations. • Given a BOTD Archived and I have permission, When I click Restore and set a future Expiry, Then it is restored.",11;12
FR-C04,Briefs of the Day (BOTD),Operational User,released BOTD to be available automatically at its Release Date/Time without manual approval,I can see timely notices without admin delay,None,TBD,User Guide Sec 9.4,"• Given a BOTD with Release <= now, When I access BOTD, Then it is visible to targeted groups. • Given Release > now, When I access BOTD, Then it remains Unreleased until the scheduled time.",12
FR-D01,Mandatory & Other Messages,Operational User / Staff Supervisor,"a Mandatory Messages list showing unread (bold), overdue (red), and future-effective (configurable colour)",I can prioritise mandatory reading and clearance,None,TBD,User Guide Sec 7.2,"• Given unread mandatory items, When I open the list, Then unread appear bold; overdue appear red; future-effective use the configured colour. • When I open a message, Then I can view it full width with actions (Print, Send, Feedback, Close).",12;13
FR-D02,Mandatory & Other Messages,Operational User / Staff Supervisor,to choose Read or Read & Clear when closing a mandatory message,I control whether it remains on my Mandatory list,None,TBD,User Guide Sec 7.4,"• Given I close a mandatory message, When I select Read, Then it remains on the Mandatory list. • Given I close a mandatory message, When I select Read & Clear, Then it moves to the Other Messages list.",13
FR-D03,Mandatory & Other Messages,System (implicit),to record cumulative read time for each mandatory message when closed,supervisors can audit the time spent reading,None,TBD,"User Guide Sec 5.2, 7.1","• Given I read a mandatory message, When I close it, Then my cumulative read time is updated. • Given multiple sessions, When I read and close repeatedly, Then read time accumulates.",13
FR-D04,Mandatory & Other Messages,Any user with access,to print/email a message and send feedback (pre-populated metadata),I can share or query message content and notify originators/admin,None,TBD,"User Guide Sec 7.3, 7.5, 7.6","• Given a message is open, When I click Print, Then a standard print dialog appears and the message prints. • Given a message is open and my account has an email address, When I click Send, Then I receive the message by email. • Given I click Feedback, When I submit subject/body, Then feedback is sent to the System Administrator and originator.",13;14
FR-D05,Mandatory & Other Messages,Operational User / Staff Supervisor,to sort columns and group by Message Sub Type with unread counts,I can navigate large lists efficiently,None,TBD,User Guide Sec 7.7,"• Given I click a column header, When the list refreshes, Then items are sorted by that column. • Given I enable categorisation, When the list renders, Then items group by Sub Type with unread counts.",14
FR-D06,Mandatory & Other Messages,Operational User / Staff Supervisor,to view non-mandatory and Read & Cleared items with display/print/feedback support,I can access reference content without clearance workflow,None,TBD,User Guide Sec 8.2,"• Given items exist, When I open Other Messages, Then unread are bold; actions mirror Mandatory except no close confirmation. • When I open and close an item, Then it remains in Other Messages.",14
FR-D13,Mandatory & Other Messages,Operational User / Staff Supervisor,Other Messages to support the same sorting/categorising by Sub Type as Mandatory,I can navigate non-mandatory items efficiently,None,TBD,User Guide Sec 8.2,"• Given I click a column header or enable categorisation, Then Other Messages behaves like Mandatory list.",14;15
FR-E01,Instructions & Approval Workflow,Data Preparer,"to create an Instruction with ID, Title, Summary, Sub Type, Originated By, optional Approvers, and upload Display/Print PDFs (ID match configurable)",briefing material can be authored with correct metadata,None,TBD,User Guide Sec 10.2,"• Given Message ID is unique and required fields are complete, When I click Create, Then the Instruction is saved as Unapproved. • Given filename validation is enabled, When I upload PDFs, Then the filenames must equal the Message ID (with .pdf).",15
FR-E02,Instructions & Approval Workflow,Data Preparer / Data Authority,to set Release/Effective/Expiry and assign Message Group access as Prohibited/Mandatory/Allowed (at least one of Mandatory/Allowed),distribution timing and audience are controlled,None,TBD,User Guide Sec 10.2,"• Given dates are set, When I save, Then validations enforce future dates and Expiry > Release and >= Effective. • Given access rights, When I save, Then at least one of Mandatory or Allowed must be present.",15
