requirement_id,theme,source_pages,source_reference,design_component,code_path,automated_test,manual_test,status,notes
FR-A01,Authentication & Security,7;8,"User Guide Sec 4.2, 4.4",Identity and access,"firstbrief/identity/backends.py; firstbrief/identity/views.py",tests/test_identity.py,Browser login review,Implemented,Secure local sign-in redirects to the authenticated dashboard and records audit evidence.
FR-A02,Authentication & Security,8,User Guide Sec 4.2–4.3,Identity and access,"firstbrief/identity/backends.py; firstbrief/identity/models.py",tests/test_identity.py,Lockout and recovery review,Implemented,Configurable lockout and monitored notification are implemented; recovery uses a safer single-use reset link instead of emailed plaintext.
FR-A03,Authentication & Security,8,"User Guide Sec 4.3, 12.10 (Password policies), 13.3",Identity and access,"firstbrief/identity/validators.py; firstbrief/identity/middleware.py",tests/test_identity.py,Forced-change browser review,Implemented,Initial reset and expired passwords force a policy-compliant change.
FR-A04,Authentication & Security,8;9,User Guide Sec 4.5,Identity and access,firstbrief/identity/views.py; firstbrief/operations/views.py; firstbrief/operations/models.py,tests/test_identity.py; tests/test_operations.py,Browser logout access-history review,Implemented,Each authorised open appends structured access evidence and a deduplicated label to the server session; logout confirmation lists those messages before ending the session.
FR-A09,Authentication & Security,9,User Guide Sec 4.2–4.3,Identity and access,"firstbrief/identity/views.py; docs/adr/0002-identity-and-sessions.md",tests/test_identity.py,Reset-link review,Implemented,Legacy plaintext temporary email is intentionally replaced by single-use time-limited recovery.
FR-B01,Dashboards & Awareness,9,User Guide Sec 5.1,Operational dashboard,firstbrief/operations/views.py; templates/operations/dashboard.html; templates/base.html,tests/test_operations.py,Browser role-aware navigation review,Implemented,Authenticated users land on an operational dashboard while management links remain capability-controlled and results are server scoped.
FR-B02,Dashboards & Awareness,9;10,User Guide Sec 5.2,Operational dashboard,firstbrief/operations/services.py; firstbrief/operations/models.py; templates/operations/dashboard.html,tests/test_operations.py,Browser effective/forthcoming status review,Implemented,Dashboard separates mandatory messages effective since the previous login from messages inside the configurable pre-effective window using text symbol and colour.
FR-B03,Dashboards & Awareness,10,User Guide Sec 5.3,Operational dashboard,firstbrief/operations/services.py; templates/operations/dashboard.html,tests/test_operations.py,Browser BOTD panel review,Implemented,Current BOTD is restricted to the default message group when set and otherwise to all applicable scoped groups.
FR-B08,Dashboards & Awareness,10,User Guide Sec 5.2,Operational dashboard,firstbrief/identity/views.py; firstbrief/operations/services.py,tests/test_operations.py,Browser prior-login scenario,Implemented,The previous login is preserved before authentication updates last_login and every message effective since then remains listed regardless of receipt or clearance state.
FR-B09,Dashboards & Awareness,10;11,User Guide Sec 5.2,Operational dashboard,firstbrief/operations/services.py; templates/operations/partials/message_table.html,tests/test_operations.py,Browser sortable-header review,Implemented,Message Effective Expires Printed and Emailed columns use stable allow-listed sorting and per-user receipt evidence.
FR-C01,Briefs of the Day (BOTD),11,User Guide Sec 9.2,Briefs of the Day,firstbrief/messaging/models.py; firstbrief/messaging/services.py,tests/test_messaging.py,,Implemented,BOTD title/text/dates/audience and future-date validation implemented.
FR-C02,Briefs of the Day (BOTD),11,User Guide Sec 9.3,Scoped retrieval,firstbrief/retrieval/services.py; firstbrief/retrieval/views.py; templates/retrieval/search.html,tests/test_retrieval.py,Browser combined BOTD search review,Implemented,BOTD search supports title content group release/expiry ranges archive inclusion pagination and stable sorting within audience scope.
FR-C03,Briefs of the Day (BOTD),11;12,User Guide Sec 9.4,Briefs of the Day,firstbrief/messaging/services.py,tests/test_messaging.py,,Partial,Edit/restore and record-preserving withdrawal/archive implemented; physical deletion is intentionally withheld per ADR 0007.
FR-C04,Briefs of the Day (BOTD),12,User Guide Sec 9.4,Briefs of the Day,firstbrief/messaging/services.py; firstbrief/notifications/services.py,tests/test_messaging.py; tests/test_notifications.py,,Implemented,Database-authoritative idempotent jobs automatically release due BOTD and recover late execution.
FR-D01,Mandatory & Other Messages,12;13,User Guide Sec 7.2,Message consumption,firstbrief/operations/services.py; templates/operations/message_list.html; templates/operations/message_viewer.html,tests/test_operations.py,Browser mandatory status/viewer review,Implemented,Mandatory list and full-width viewer show unread overdue and forthcoming states with explicit text and symbols in addition to colour.
FR-D02,Mandatory & Other Messages,13,User Guide Sec 7.4,Message consumption,firstbrief/operations/services.py; firstbrief/operations/forms.py; templates/operations/message_viewer.html,tests/test_operations.py,Browser Read versus Read & Clear review,Implemented,Read keeps the item mandatory while Read & Clear records explicit acknowledgement and moves it to Other Messages.
FR-D03,Mandatory & Other Messages,13,"User Guide Sec 5.2, 7.1",Message consumption,firstbrief/operations/models.py; firstbrief/operations/services.py; firstbrief/core/static/js/consumption.js,tests/test_operations.py,Browser active/idle timing review,Implemented,Foreground non-idle seconds are accumulated on close and server capped to elapsed time; replaying a closed view session is rejected.
FR-D04,Mandatory & Other Messages,13;14,"User Guide Sec 7.3, 7.5, 7.6",Message consumption,firstbrief/operations/views.py; firstbrief/operations/services.py; templates/operations,tests/test_operations.py,Browser print email feedback review,Implemented,Print opens a print view; email-to-self and feedback create recoverable notification jobs and structured audit/access evidence.
FR-D05,Mandatory & Other Messages,14,User Guide Sec 7.7,Message consumption,firstbrief/operations/views.py; firstbrief/operations/services.py; templates/operations/message_list.html,tests/test_operations.py,Browser sort/group/unread review,Implemented,Mandatory Messages supports allow-listed sorting and subtype grouping with unread counts.
FR-D06,Mandatory & Other Messages,14,User Guide Sec 8.2,Message consumption,firstbrief/operations/services.py; templates/operations/message_list.html; templates/operations/message_viewer.html,tests/test_operations.py,Browser Other Messages workflow,Implemented,Other Messages contains allowed and cleared mandatory content with unread styling and the same secure viewer print email and feedback actions without clearance confirmation.
FR-D13,Mandatory & Other Messages,14;15,User Guide Sec 8.2,Message consumption,firstbrief/operations/views.py; templates/operations/message_list.html,tests/test_operations.py,Browser Other sorting/grouping review,Implemented,Other Messages uses the same sorting and subtype grouping implementation as Mandatory Messages.
FR-E01,Instructions & Approval Workflow,15,User Guide Sec 10.2,Instructions and lifecycle,firstbrief/messaging/models.py; firstbrief/messaging/files.py,tests/test_messaging.py,,Implemented,Stable identity taxonomy approvers and required validated Display/Print PDFs implemented.
FR-E02,Instructions & Approval Workflow,15,User Guide Sec 10.2,Instructions and lifecycle,firstbrief/messaging/models.py; firstbrief/messaging/services.py,tests/test_messaging.py,,Implemented,Release/effective/expiry dates and Prohibited/Allowed/Mandatory rights implemented.
